sequence,utc_time,elapsed_seconds,delta_seconds,port,type,channel_1_based,note,note_name,velocity,control,value,program_1_based,pitch,song,pos,sysex_hex,raw_bytes_hex,message
577,2026-09-13T00:28:22.489+00:00,14.642828,0.014928,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
578,2026-09-13T00:28:22.504+00:00,14.657948,0.015119,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
579,2026-09-13T00:28:22.519+00:00,14.672138,0.01419,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
580,2026-09-13T00:28:22.534+00:00,14.687308,0.01517,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
581,2026-09-13T00:28:22.548+00:00,14.702043,0.014735,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
582,2026-09-13T00:28:22.562+00:00,14.715652,0.013609,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
583,2026-09-13T00:28:22.578+00:00,14.731435,0.015783,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
584,2026-09-13T00:28:22.592+00:00,14.745797,0.014362,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
585,2026-09-13T00:28:22.606+00:00,14.759989,0.014192,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
586,2026-09-13T00:28:22.621+00:00,14.775074,0.015085,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
587,2026-09-13T00:28:22.637+00:00,14.790126,0.015052,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
588,2026-09-13T00:28:22.651+00:00,14.804929,0.014803,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
589,2026-09-13T00:28:22.681+00:00,14.834412,0.029482,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
590,2026-09-13T00:28:22.828+00:00,14.981359,0.146947,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
591,2026-09-13T00:28:22.842+00:00,14.995925,0.014566,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
592,2026-09-13T00:28:22.856+00:00,15.009802,0.013877,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
593,2026-09-13T00:28:22.871+00:00,15.024994,0.015192,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
594,2026-09-13T00:28:22.886+00:00,15.039865,0.01487,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
595,2026-09-13T00:28:22.901+00:00,15.055084,0.01522,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
596,2026-09-13T00:28:22.915+00:00,15.068788,0.013703,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
597,2026-09-13T00:28:22.931+00:00,15.084492,0.015704,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
598,2026-09-13T00:28:22.946+00:00,15.099529,0.015037,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
599,2026-09-13T00:28:22.960+00:00,15.113134,0.013605,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
